nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix_buf500k.yaml, seed=0, device=cuda
step   20500 | wellbeing 0.009 | wm_loss 1.7629 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 22 | eps 1.00
step   21000 | wellbeing 0.000 | wm_loss 1.7663 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 0 | morts 22 | eps 1.00
step   21500 | wellbeing 0.008 | wm_loss 1.7846 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 1 | morts 22 | eps 1.00
step   22000 | wellbeing 0.007 | wm_loss 1.7510 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 1 | morts 22 | eps 1.00
step   22500 | wellbeing 0.155 | wm_loss 1.8082 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 23 | eps 1.00
step   23000 | wellbeing 0.001 | wm_loss 1.7654 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 2 | morts 23 | eps 1.00
step   23500 | wellbeing 0.053 | wm_loss 1.8303 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 5 | morts 23 | eps 1.00
step   24000 | wellbeing 0.000 | wm_loss 1.7984 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 23 | eps 1.00
step   24500 | wellbeing 0.159 | wm_loss 1.7915 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 24 | eps 1.00
step   25000 | wellbeing 0.000 | wm_loss 1.7993 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 24 | eps 1.00
step   25500 | wellbeing 0.000 | wm_loss 1.8202 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 24 | eps 1.00
step   26000 | wellbeing 0.000 | wm_loss 1.7957 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 24 | eps 1.00
step   26500 | wellbeing 0.000 | wm_loss 1.8002 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 24 | eps 1.00
step   27000 | wellbeing 0.281 | wm_loss 1.8307 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 3 | morts 25 | eps 1.00
