nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix.yaml, seed=0, device=cuda
step   20000 | wellbeing 0.000 | wm_loss 1.6959 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 15 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   20500 | wellbeing 0.000 | wm_loss 1.7046 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 15 | eps 1.00
step   21000 | wellbeing 0.150 | wm_loss 1.6946 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 16 | eps 1.00
step   21500 | wellbeing 0.092 | wm_loss 1.7475 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 3 | morts 16 | eps 1.00
step   22000 | wellbeing 0.349 | wm_loss 1.6969 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 18 | eps 1.00
step   22500 | wellbeing 0.078 | wm_loss 1.7125 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 3 | morts 19 | eps 1.00
step   23000 | wellbeing 0.407 | wm_loss 1.7319 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 21 | eps 1.00
step   23500 | wellbeing 0.000 | wm_loss 1.7319 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 21 | eps 1.00
step   24000 | wellbeing 0.244 | wm_loss 1.7207 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 4 | morts 22 | eps 1.00
step   24500 | wellbeing 0.000 | wm_loss 1.7444 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 22 | eps 1.00
step   25000 | wellbeing 0.000 | wm_loss 1.7429 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 22 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   25500 | wellbeing 0.000 | wm_loss 1.7359 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 22 | eps 1.00
step   26000 | wellbeing 0.000 | wm_loss 1.7376 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 22 | eps 1.00
step   26500 | wellbeing 0.000 | wm_loss 1.7111 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 22 | eps 1.00
step   27000 | wellbeing 0.000 | wm_loss 1.7243 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 22 | eps 1.00
step   27500 | wellbeing 0.000 | wm_loss 1.7086 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 22 | eps 1.00
step   28000 | wellbeing 0.000 | wm_loss 1.6927 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 22 | eps 1.00
step   28500 | wellbeing 0.123 | wm_loss 1.7093 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 23 | eps 1.00
step   29000 | wellbeing 0.033 | wm_loss 1.7160 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 23 | eps 1.00
step   29500 | wellbeing 0.159 | wm_loss 1.6910 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 24 | eps 1.00
step   30000 | wellbeing 0.006 | wm_loss 1.6963 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 24 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   30500 | wellbeing 0.011 | wm_loss 1.6743 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 24 | eps 1.00
step   31000 | wellbeing 0.275 | wm_loss 1.7248 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 25 | eps 1.00
step   31500 | wellbeing 0.156 | wm_loss 1.7130 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 26 | eps 1.00
step   32000 | wellbeing 0.186 | wm_loss 1.7261 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 27 | eps 1.00
step   32500 | wellbeing 0.000 | wm_loss 1.7118 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 27 | eps 1.00
step   33000 | wellbeing 0.202 | wm_loss 1.7413 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 28 | eps 1.00
step   33500 | wellbeing 0.000 | wm_loss 1.7583 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 28 | eps 1.00
step   34000 | wellbeing 0.156 | wm_loss 1.7488 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 29 | eps 1.00
step   34500 | wellbeing 0.038 | wm_loss 1.7294 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 0 | morts 30 | eps 1.00
step   35000 | wellbeing 0.272 | wm_loss 1.7066 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 31 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   35500 | wellbeing 0.008 | wm_loss 1.7643 | td 0.0000 | planner 0.00 | seuil None | eau 4 | bouffe 2 | morts 31 | eps 1.00
step   36000 | wellbeing 0.227 | wm_loss 1.7246 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   36500 | wellbeing 0.083 | wm_loss 1.7535 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   37000 | wellbeing 0.000 | wm_loss 1.7687 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   37500 | wellbeing 0.000 | wm_loss 1.7603 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 33 | eps 1.00
step   38000 | wellbeing 0.000 | wm_loss 1.7838 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   38500 | wellbeing 0.000 | wm_loss 1.7825 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   39000 | wellbeing 0.000 | wm_loss 1.7977 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 33 | eps 1.00
step   39500 | wellbeing 0.000 | wm_loss 1.8122 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   40000 | wellbeing 0.000 | wm_loss 1.8260 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   40500 | wellbeing 0.032 | wm_loss 1.8186 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 34 | eps 1.00
step   41000 | wellbeing 0.278 | wm_loss 1.8695 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 35 | eps 1.00
step   41500 | wellbeing 0.155 | wm_loss 1.8329 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 36 | eps 1.00
step   42000 | wellbeing 0.158 | wm_loss 1.8173 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 37 | eps 1.00
step   42500 | wellbeing 0.000 | wm_loss 1.8602 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 37 | eps 1.00
step   43000 | wellbeing 0.284 | wm_loss 1.8002 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 39 | eps 1.00
step   43500 | wellbeing 0.290 | wm_loss 1.8565 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 40 | eps 1.00
step   44000 | wellbeing 0.000 | wm_loss 1.8432 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 40 | eps 1.00
step   44500 | wellbeing 0.000 | wm_loss 1.8302 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 40 | eps 1.00
