nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix_buf500k.yaml, seed=1, device=cuda
step     500 | wellbeing 0.363 | wm_loss 2.8432 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 1 | eps 1.00
step    1000 | wellbeing 0.286 | wm_loss 2.2742 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 3 | eps 1.00
step    1500 | wellbeing 0.180 | wm_loss 1.9853 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 4 | eps 1.00
step    2000 | wellbeing 0.036 | wm_loss 1.8920 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 3 | morts 4 | eps 1.00
step    2500 | wellbeing 0.311 | wm_loss 1.9575 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 6 | eps 1.00
step    3000 | wellbeing 0.000 | wm_loss 1.8010 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 3 | morts 6 | eps 1.00
step    3500 | wellbeing 0.394 | wm_loss 1.8475 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 8 | eps 1.00
step    4000 | wellbeing 0.173 | wm_loss 1.8430 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 9 | eps 1.00
step    4500 | wellbeing 0.000 | wm_loss 1.8099 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 9 | eps 1.00
step    5000 | wellbeing 0.329 | wm_loss 1.8767 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 10 | eps 1.00
step    5500 | wellbeing 0.000 | wm_loss 1.8169 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 10 | eps 1.00
step    6000 | wellbeing 0.013 | wm_loss 1.8024 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 10 | eps 1.00
step    6500 | wellbeing 0.156 | wm_loss 1.8026 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 11 | eps 1.00
step    7000 | wellbeing 0.156 | wm_loss 1.7727 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 12 | eps 1.00
step    7500 | wellbeing 0.009 | wm_loss 1.8032 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 12 | eps 1.00
step    8000 | wellbeing 0.001 | wm_loss 1.7485 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 4 | morts 12 | eps 1.00
step    8500 | wellbeing 0.006 | wm_loss 1.7116 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 12 | eps 1.00
step    9000 | wellbeing 0.153 | wm_loss 1.8438 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 13 | eps 1.00
step    9500 | wellbeing 0.066 | wm_loss 1.8303 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 3 | morts 13 | eps 1.00
step   10000 | wellbeing 0.156 | wm_loss 1.7515 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 14 | eps 1.00
step   10500 | wellbeing 0.034 | wm_loss 1.7514 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 14 | eps 1.00
step   11000 | wellbeing 0.180 | wm_loss 1.7445 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 15 | eps 1.00
step   11500 | wellbeing 0.000 | wm_loss 1.7420 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 0 | morts 15 | eps 1.00
step   12000 | wellbeing 0.029 | wm_loss 1.7516 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 15 | eps 1.00
